trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,35,36,pedestrian
P2,0,12004,12005,pedestrian
P3,148,441,294,pedestrian
P4,151,458,308,pedestrian
P5,189,525,337,pedestrian
P6,386,706,321,pedestrian
P7,463,502,40,pedestrian
P8,659,699,41,pedestrian
P9,689,1153,465,pedestrian
P10,690,1152,463,pedestrian
P11,761,1014,254,pedestrian
P12,1054,1273,220,pedestrian
P13,1165,1731,567,pedestrian
P14,1559,2219,661,pedestrian
P15,1685,2401,717,pedestrian
P16,1858,2259,402,pedestrian
P17,2134,2157,24,pedestrian
P18,2225,2619,395,pedestrian
P19,2437,2622,186,pedestrian
P20,2692,3125,434,pedestrian
P21,2738,2929,192,pedestrian
P22,2860,2928,69,pedestrian
P23,3277,3458,182,pedestrian
P24,3279,3656,378,pedestrian
P25,3650,4259,610,pedestrian
P26,4615,4956,342,pedestrian
P27,4619,4955,337,pedestrian
P28,4753,4840,88,pedestrian
P29,4854,5090,237,pedestrian
P30,4985,5467,483,pedestrian
P31,5174,5293,120,pedestrian
P32,5255,5548,294,pedestrian
P33,5360,7025,1666,pedestrian
P34,5750,5999,250,pedestrian
P35,5745,6053,309,pedestrian
P36,5875,6050,176,pedestrian
P37,5940,6295,356,pedestrian
P38,5940,6297,358,pedestrian
P39,5987,6088,102,pedestrian
P40,6792,7239,448,pedestrian
P41,6878,7163,286,pedestrian
P42,7099,7339,241,pedestrian
P43,7241,7934,694,pedestrian
P44,7425,7772,348,pedestrian
P45,7435,10313,2879,pedestrian
P46,7615,7683,69,pedestrian
P47,7626,7929,304,pedestrian
P48,8146,8493,348,pedestrian
P49,8160,8534,375,pedestrian
P50,8229,8737,509,pedestrian
P51,8464,8812,349,pedestrian
P52,8529,8874,346,pedestrian
P53,8686,9037,352,pedestrian
P54,9132,9462,331,pedestrian
P55,10397,10503,107,pedestrian
P56,10272,10556,285,pedestrian
P57,10337,10952,616,pedestrian
P58,10331,10937,607,pedestrian
P59,10660,11059,400,pedestrian
P60,10665,11079,415,pedestrian
P61,11075,11387,313,pedestrian
P62,11435,12004,570,pedestrian
P63,11576,12004,429,pedestrian
P64,11563,11607,45,pedestrian
P65,11639,11975,337,pedestrian
P66,11833,11902,70,pedestrian
