trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,35,36,pedestrain
P2,0,12004,12005,pedestrain
P3,148,441,294,pedestrain
P4,151,458,308,pedestrain
P5,189,525,337,pedestrain
P6,386,706,321,pedestrain
P7,463,502,40,pedestrain
P8,659,699,41,pedestrain
P9,689,1153,465,pedestrain
P10,690,1152,463,pedestrain
P11,761,1014,254,pedestrain
P12,1054,1273,220,pedestrain
P13,1165,1731,567,pedestrain
P14,1559,2219,661,pedestrain
P15,1685,2401,717,pedestrain
P16,1858,2259,402,pedestrain
P17,2134,2157,24,pedestrain
P18,2225,2619,395,pedestrain
P19,2437,2622,186,pedestrain
P20,2692,3125,434,pedestrain
P21,2738,2929,192,pedestrain
P22,2860,2928,69,pedestrain
P23,3277,3458,182,pedestrain
P24,3279,3656,378,pedestrain
P25,3650,4259,610,pedestrain
P26,4615,4956,342,pedestrain
P27,4619,4955,337,pedestrain
P28,4753,4840,88,pedestrain
P29,4854,5090,237,pedestrain
P30,4985,5467,483,pedestrain
P31,5174,5293,120,pedestrain
P32,5255,5548,294,pedestrain
P33,5360,7025,1666,pedestrain
P34,5750,5999,250,pedestrain
P35,5745,6053,309,pedestrain
P36,5875,6050,176,pedestrain
P37,5940,6295,356,pedestrain
P38,5940,6297,358,pedestrain
P39,5987,6088,102,pedestrain
P40,6792,7239,448,pedestrain
P41,6878,7163,286,pedestrain
P42,7099,7339,241,pedestrain
P43,7241,7934,694,pedestrain
P44,7425,7772,348,pedestrain
P45,7435,10313,2879,pedestrain
P46,7615,7683,69,pedestrain
P47,7626,7929,304,pedestrain
P48,8146,8493,348,pedestrain
P49,8160,8534,375,pedestrain
P50,8229,8737,509,pedestrain
P51,8464,8812,349,pedestrain
P52,8529,8874,346,pedestrain
P53,8686,9037,352,pedestrain
P54,9132,9462,331,pedestrain
P55,10397,10503,107,pedestrain
P56,10272,10556,285,pedestrain
P57,10337,10952,616,pedestrain
P58,10331,10937,607,pedestrain
P59,10660,11059,400,pedestrain
P60,10665,11079,415,pedestrain
P61,11075,11387,313,pedestrain
P62,11435,12004,570,pedestrain
P63,11576,12004,429,pedestrain
P64,11563,11607,45,pedestrain
P65,11639,11975,337,pedestrain
P66,11833,11902,70,pedestrain
